# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.01 26 0.819000 111 16 6.7548 -45.28718205450001 6 73.0624561254 1.5 12 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 28 0.329000 111 15 7.7503 -69.30541268310000 2 73.0549937289 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 30 0.357000 111 14 7.7504 -69.30544253879999 2 73.0551052243 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 32 0.354000 111 14 10.102 -70.43938348130000 1 73.0553079649 0.354000 2 10.102 8.840999887075636e-24 4.799564455366520e+06 6.983286989472708e+10 -2.305349861497757e+01 6.681201828372824e+00 1.084405989044188e+01
0.01 34 0.355000 111 14 10.103 -70.43978616689999 1 73.0556063207 0.355000 2 10.103 7.062480489996677e-24 4.652153471494928e+06 6.954590796853629e+10 -2.315104273890326e+01 6.667654033383144e+00 1.084227158150324e+01
 
0.10 0 0.811000 111 14 12.370 -2.44553599930000000000 1 73.0553122130 0.811000 2 12.370 2.337958247202149e-68 3.089295971504075e+00 1.063659701238842e+10 -6.763116324902175e+01 4.898595180889103e-01 1.002680270548440e+01
0.10 2 0.809000 111 14 12.370 -2.44559902870000000000 1 73.0550060956 0.809000 2 12.370 3.663742975970993e-68 3.288176400642022e+00 1.072455605090042e+10 -6.743607500117035e+01 5.169551080682731e-01 1.003037932336168e+01
0.10 4 0.874000 111 14 6.6905 -9.16221855360000000000 3 73.0550501278 0.874000 4 6.6905 1.673235012610446e-74 4.328609753988868e-01 8.206146054449055e+09 -7.377644305634074e+01 -3.636515662609493e-01 9.914139242350222e+00
0.10 6 0.873000 111 14 6.6906 -9.16216773910000000000 3 73.0549051097 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.10 8 0.878000 111 13 6.6907 -9.16216669340000000000 3 73.0548597666 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.10 10 0.871000 111 15 6.6929 -9.16384844900000000000 3 73.0618582988 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.10 12 1.105000 111 15 7.9586 -25.56405778420000000000 4 73.0534004776 1.105000 12 7.9586 4.907545296578920e-97 3.212238560142449e-04 3.169858510509435e+09 -9.630913568317706e+01 -3.493192208877107e+00 9.501039877524889e+00
0.10 14 1.106000 111 15 8.0868 -29.94941379410000000000 4 73.0529163583 1.106000 14 8.0868 3.920308036823877e-97 3.113579764957093e-04 3.156832714701537e+09 -9.640667980710279e+01 -3.506740003866788e+00 9.499251568586251e+00
0.10 16 1.103000 111 15 8.0746 -34.33367429930000000000 4 73.0525542337 1.103000 16 8.0746 7.690464374681313e-97 3.419033697036877e-04 3.196071565914163e+09 -9.611404743532567e+01 -3.466096618897744e+00 9.504616495402164e+00
0.10 18 1.103000 111 15 8.0746 -38.71887993439999 4 73.0525542337 1.103000 16 8.0746 7.690464374681313e-97 3.419033697036877e-04 3.196071565914163e+09 -9.611404743532567e+01 -3.466096618897744e+00 9.504616495402164e+00
0.10 20 1.106000 111 15 8.0868 -43.10350256420000 4 73.0529163583 1.106000 14 8.0868 3.920308036823877e-97 3.113579764957093e-04 3.156832714701537e+09 -9.640667980710279e+01 -3.506740003866788e+00 9.499251568586251e+00
0.10 22 1.105000 111 15 7.9586 -47.48934269339999 4 73.0534004776 1.105000 12 7.9586 4.907545296578920e-97 3.212238560142449e-04 3.169858510509435e+09 -9.630913568317706e+01 -3.493192208877107e+00 9.501039877524889e+00
0.10 24 0.871000 111 15 6.6929 -63.89800984980000 3 73.0618582988 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.10 26 0.878000 111 13 6.6907 -63.89269307320001 3 73.0548597666 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
